experiment_id,distance,eta,schedule_factor,perturbation_level,seed,eta_eff,predicted_derivative,observed_derivative,sign_match
exp_schedule_sensitivity_transfer,3,1,temporal_order,-1,11,1.1085714285714285,-261.9837990580848,-264.8496339299826,1
exp_schedule_sensitivity_transfer,3,1,temporal_order,-1,29,1.1085714285714285,-261.9837990580848,-279.4680394779646,1
exp_schedule_sensitivity_transfer,3,1,temporal_order,-1,47,1.1085714285714285,-261.9837990580848,-282.2082363465933,1
exp_schedule_sensitivity_transfer,3,1,temporal_order,-1,71,1.1085714285714285,-261.9837990580848,-265.58277198424344,1
exp_schedule_sensitivity_transfer,3,1,temporal_order,-1,89,1.1085714285714285,-261.9837990580848,-248.8543353490932,1
exp_schedule_sensitivity_transfer,3,1,temporal_order,0,11,0.91,-200.26,-202.45063962546405,1
exp_schedule_sensitivity_transfer,3,1,temporal_order,0,29,0.91,-200.26,-213.6249256140027,1
exp_schedule_sensitivity_transfer,3,1,temporal_order,0,47,0.91,-200.26,-215.71952774926646,1
exp_schedule_sensitivity_transfer,3,1,temporal_order,0,71,0.91,-200.26,-203.0110491900025,1
exp_schedule_sensitivity_transfer,3,1,temporal_order,0,89,0.91,-200.26,-190.22385878891802,1
exp_schedule_sensitivity_transfer,3,1,temporal_order,1,11,0.7486238532110092,-154.87146199814833,-156.56559742962088,1
exp_schedule_sensitivity_transfer,3,1,temporal_order,1,29,0.7486238532110092,-154.87146199814833,-165.20725331612047,1
exp_schedule_sensitivity_transfer,3,1,temporal_order,1,47,0.7486238532110092,-154.87146199814833,-166.827117967038,1
exp_schedule_sensitivity_transfer,3,1,temporal_order,1,71,0.7486238532110092,-154.87146199814833,-156.99899126052978,1
exp_schedule_sensitivity_transfer,3,1,temporal_order,1,89,0.7486238532110092,-154.87146199814833,-147.10999259746856,1
exp_schedule_sensitivity_transfer,3,1,measurement_reset_asymmetry,-1,11,1.1812500000000001,-378.5045454545455,-382.6449981445035,1
exp_schedule_sensitivity_transfer,3,1,measurement_reset_asymmetry,-1,29,1.1812500000000001,-378.5045454545455,-403.76513216463195,1
exp_schedule_sensitivity_transfer,3,1,measurement_reset_asymmetry,-1,47,1.1812500000000001,-378.5045454545455,-407.72406769402437,1
exp_schedule_sensitivity_transfer,3,1,measurement_reset_asymmetry,-1,71,1.1812500000000001,-378.5045454545455,-383.7042090078512,1
exp_schedule_sensitivity_transfer,3,1,measurement_reset_asymmetry,-1,89,1.1812500000000001,-378.5045454545455,-359.5355797738394,1
exp_schedule_sensitivity_transfer,3,1,measurement_reset_asymmetry,0,11,0.91,-263.98,-266.8676712690003,1
exp_schedule_sensitivity_transfer,3,1,measurement_reset_asymmetry,0,29,0.91,-263.98,-281.5974626165207,1
exp_schedule_sensitivity_transfer,3,1,measurement_reset_asymmetry,0,47,0.91,-263.98,-284.3585385761079,1
exp_schedule_sensitivity_transfer,3,1,measurement_reset_asymmetry,0,71,0.91,-263.98,-267.6063955117191,1
exp_schedule_sensitivity_transfer,3,1,measurement_reset_asymmetry,0,89,0.91,-263.98,-250.75049557125033,1
exp_schedule_sensitivity_transfer,3,1,measurement_reset_asymmetry,1,11,0.7040178571428571,-187.98239795918366,-190.0387331727018,1
exp_schedule_sensitivity_transfer,3,1,measurement_reset_asymmetry,1,29,0.7040178571428571,-187.98239795918366,-200.52794257851025,1
exp_schedule_sensitivity_transfer,3,1,measurement_reset_asymmetry,1,47,0.7040178571428571,-187.98239795918366,-202.49412819799147,1
exp_schedule_sensitivity_transfer,3,1,measurement_reset_asymmetry,1,71,0.7040178571428571,-187.98239795918366,-190.56478497426576,1
exp_schedule_sensitivity_transfer,3,1,measurement_reset_asymmetry,1,89,0.7040178571428571,-187.98239795918366,-178.56155559867148,1
exp_schedule_sensitivity_transfer,3,1,cnot_decomposition,-1,11,1.1324444444444444,-295.29076543209874,-298.5209444583105,1
exp_schedule_sensitivity_transfer,3,1,cnot_decomposition,-1,29,1.1324444444444444,-295.29076543209874,-314.99784180532316,1
exp_schedule_sensitivity_transfer,3,1,cnot_decomposition,-1,47,1.1324444444444444,-295.29076543209874,-318.08641000565143,1
exp_schedule_sensitivity_transfer,3,1,cnot_decomposition,-1,71,1.1324444444444444,-295.29076543209874,-299.34728905667276,1
exp_schedule_sensitivity_transfer,3,1,cnot_decomposition,-1,89,1.1324444444444444,-295.29076543209874,-280.49210459016814,1
exp_schedule_sensitivity_transfer,3,1,cnot_decomposition,0,11,0.91,-218.47000000000003,-220.85983840494924,1
